Layer,Name,Status,Dependencies,Build Phase,Description
0,Platform Foundation,Active (L4),None,Foundation,"Auth (NextAuth v5 + MFA), RBAC, tenant isolation, middleware, security headers, rate limiting, audit events, file storage, Prisma schema foundation, CI/CD, Docker, backup/restore scripts, Sentry monitoring"
0.5,AQLIYA Intelligence Core,Active (L4),L0,Shared Intelligence,"AI orchestrator, provider abstraction (Anthropic/OpenAI/deterministic), governance context injection, prompt registry, human-review-by-design, token tracking, evidence linkage, deterministic handlers (5)"
1,AuditOS,Active (L5 pilot),L0 + L0.5,First Product to GA,"15-tab workflow: engagement, trial balance, mapping, validation, statements, notes, evidence, findings, recommendations, review, approval, publication, exports, audit trail, pilot. 23 models, 50+ actions"
2,LocalContentOS,Active (L5 conditional),L0 + L0.5,Second Product (KSA-Strategic),"Local content baseline, supplier records, spend/procurement, classification, evidence, scoring, gap findings, review/approval, reports/exports"
3,DecisionOS,Active (L4→L5),L0 + L0.5,Decision Governance,"Decision requests, context, options, risks, evidence, recommendations, committee workflow, voting, final records, exports. 9 models, gates operational"
4,WorkflowOS,Frozen (L4),L0 + L0.5,Workflow Engine,"Process builder, SLA timers, templates, throughput dashboard, webhook triggers. Bug fixes only"
5,Office AI,Frozen (L4),L0 + L0.5 + 0.5 AI,Shared Assistant,"Task categories, document-aware responses, action logs, user review, audit events. Bug fixes only"
6,Organizations,Frozen (L3),L0,Tenant Lifecycle,"Org CRUD, admin console, billing/metering, user provisioning. Amber-bannered prototype. No investment"
7,SalesOS,Frozen (L3→L4),L0 + L0.5,Revenue Intelligence,"Accounts, contacts, deals, opportunities, pipeline, governance, exports. 26+ routes, 11 models. No new features"
8,Enterprise Hardening,Not Started (L0),All products stable,Hardening,"SAML/OIDC SSO, SCIM, DR/HA, SIEM export, external pentest. Contract-gated"
9,Compliance Certification,Not Started (L0),L8,Certification,"SOC2, ISO 27001, NCA ECC, PDPL, Saudi data residency. Contract-gated"
10,Air-Gapped / Local AI,Not Started (L0),L0–L9,Air-Gapped,"On-prem packaging, local AI runtime (Ollama/vLLM), offline licensing, zero egress. Contract-gated"
